firstname,lastname,prob
秀英,王,-5.5
秀英,李,-8.3125
秀英,王,-11.25
秀英,李,-1.6484375
秀英,王,-6.0
秀英,张,-9.5625
秀英,王,-12.875
秀英,张,-4.25
秀英,王,-8.0625
秀英,陈,-0.05322265625
秀英,王,-16.75
秀英,陈,0.0
秀英,李,-2.65625
秀英,张,-11.25
秀英,李,-9.4375
秀英,张,-4.625
秀英,李,-3.765625
秀英,陈,-0.2041015625
秀英,李,-16.75
秀英,陈,0.0
秀英,张,-5.0625
秀英,陈,-0.11767578125
秀英,张,-15.5625
秀英,陈,0.0
秀英,刘,-1.703125
秀英,杨,-12.6875
秀英,刘,-7.75
秀英,杨,-6.3125
秀英,吴,-0.71484375
秀英,马,-8.375
秀英,吴,-8.4375
秀英,马,-2.140625
秀英,孙,-6.09375
秀英,赵,-9.75
秀英,孙,-11.5
秀英,赵,-3.8125
秀兰,王,-16.0
秀兰,张,-14.1875
秀兰,王,-16.75
秀兰,张,-11.0
秀兰,王,-15.625
秀兰,李,-11.6875
秀兰,王,-17.5
秀兰,李,-10.0
秀兰,张,-12.1875
秀兰,李,-13.0
秀兰,张,-16.0
秀兰,李,-12.125
桂英,李,-7.25
桂英,王,-14.4375
桂英,李,-10.8125
桂英,王,-10.3125
桂英,李,-9.9375
桂英,张,-14.4375
桂英,李,-12.9375
桂英,张,-11.1875
桂英,王,-10.6875
桂英,张,-12.0
桂英,王,-14.125
桂英,张,-9.625
玉兰,王,-14.6875
玉兰,张,-13.4375
玉兰,王,-17.0
玉兰,张,-13.0
玉兰,李,-12.0625
玉兰,刘,-16.5
玉兰,李,-11.75
玉兰,刘,-13.5625
桂兰,王,-13.8125
桂兰,张,-13.3125
桂兰,王,-16.125
桂兰,张,-12.4375
桂兰,王,-13.25
桂兰,李,-12.0625
桂兰,王,-16.625
桂兰,李,-10.625
桂兰,张,-12.1875
桂兰,李,-13.0625
桂兰,张,-15.0625
桂兰,李,-12.3125
玉梅,王,-14.1875
玉梅,张,-13.5625
玉梅,王,-17.125
玉梅,张,-13.125
凤英,张,-12.0625
凤英,李,-12.8125
凤英,张,-14.875
凤英,李,-10.5625
凤英,张,-12.6875
凤英,王,-15.0625
凤英,张,-13.5625
凤英,王,-11.9375
凤英,李,-9.25
凤英,王,-14.6875
凤英,李,-10.8125
凤英,王,-11.0625
玉英,王,-11.125
玉英,张,-13.1875
玉英,王,-14.25
玉英,张,-10.5625
建华,王,-13.25
建华,李,-11.25
建华,王,-16.5
建华,李,-11.125
建华,王,-13.625
建华,张,-13.0625
建华,王,-15.875
建华,张,-13.1875
建华,李,-12.0
建华,张,-14.5625
建华,李,-12.875
建华,张,-13.1875
玉珍,张,-13.0625
玉珍,李,-13.1875
玉珍,张,-15.875
玉珍,李,-12.375
兰英,张,-9.125
兰英,王,-13.3125
兰英,张,-11.75
兰英,王,-9.75
婷婷,张,-14.375
婷婷,王,-17.0
婷婷,张,-15.6875
婷婷,王,-16.0
建国,张,-15.625
建国,李,-14.6875
建国,张,-16.125
建国,李,-14.1875
秀梅,李,-12.3125
秀梅,张,-17.0
秀梅,李,-11.125
秀梅,张,-10.3125
建军,李,-13.5625
建军,张,-15.25
建军,李,-12.5
建军,张,-13.9375
海燕,张,-14.6875
海燕,李,-14.5
海燕,张,-17.375
海燕,李,-13.875
志强,李,-12.9375
志强,张,-16.25
志强,李,-13.1875
志强,张,-13.5
丽丽,王,-16.75
丽丽,张,-15.375
丽丽,王,-18.0
丽丽,张,-14.4375
桂芳,张,-11.75
桂芳,王,-15.4375
桂芳,张,-12.625
桂芳,王,-13.4375
秀华,王,-15.5
秀华,李,-13.375
秀华,王,-16.125
秀华,李,-12.625
淑英,李,-5.75
淑英,张,-12.0625
淑英,李,-9.75
淑英,张,-4.84375
桂花,王,-14.0
桂花,李,-9.875
桂花,王,-17.375
桂花,李,-8.0625
淑兰,张,-13.5
淑兰,李,-14.8125
淑兰,张,-18.5
淑兰,李,-14.75
怡君,陳,-0.87890625
怡君,林,-10.6875
怡君,陳,-1.0234375
怡君,林,-12.0
建宏,陳,-0.6015625
建宏,林,-10.4375
建宏,陳,-1.1484375
建宏,林,-10.9375
淑惠,陳,-0.2353515625
淑惠,林,-11.3125
淑惠,陳,-0.27734375
淑惠,林,-12.625
麗華,陳,-0.48046875
麗華,林,-10.1875
麗華,陳,-0.400390625
麗華,林,-9.8125
俊傑,王,-11.3125
俊傑,黃,-13.0
俊傑,王,-13.3125
俊傑,黃,-12.75
承翰,吳,-6.875
承翰,李,-11.25
承翰,吳,-7.5
承翰,李,-11.375
承恩,李,-10.8125
承恩,吳,-7.96875
承恩,李,-10.8125
承恩,吳,-8.25
