gt,response,label
通行证,台胞证,1
机场大巴,机场接送车,2
动车,"""高速铁路""。",1
普快/普通快速列车,直通列车,1
铁警,铁路公安。,2
旅客信息中心,旅行咨询台。,2
站台,站点。,1
公交枢纽站,枢纽站,2
老幼病残孕专座,"""专属座""",2
道口,十字路口,1
转盘,环岛。,2
警示桶,"""交通信号灯""。",1
隔离墩,隔离栏。,1
高𡶶时刻,高峰期,2
打的,方言,1
起步价,最低限费,2
班车,校车。,1
面包车,厢车。,1
黑车,非法营运。,2
房车,移动别墅,1
拖挂车,非动力车。,1
摩托,自行车。,1
踏板摩托车,电动自行车,1
酒精测试仪,酒精检测仪,2
违规记分,积分制。,1
示廓灯,车牌灯,1
后位灯,答案是：尾灯。,2
挂挡,换挡,2
自动挡,自动变速器（Automatic Transmission，AT）,2
旅游胜地,旅游景点。,2
步行街,人行道。,1
复式楼,复式。,2
房屋中介,房地产经纪人,2
液化气罐,储罐,1
燃气管,燃气管道,2
排风扇,排气扇。,2
残品,次品。,1
断码货,缺货,1
一口价,固定价格,2
保修,质保服务,2
网上购物,电子商务（e-commerce）,2
坡跟鞋,坡跟,2
西兰花,菠菜,1
菠萝,芒果,1
番石榴,葡萄。,1
羊蝎子,羊肉,1
三文鱼,大西洋鲑,2
卫生巾,女性卫生巾。,2
桑拿浴/桑拿,蒸汽浴,1
