conceptId,Mainland China,Taiwan,definition_simplified,definition_traditional,category,definition_source
0,复印件,影本/複印品,通过复印机复制原始文件或图片所得到的副本,通過複印機復制原始文件或圖片所得到的副本,communication,gpt
1,通行证,陸胞證,大陆居民往来台湾通行证的简称,大陸居民往來臺灣陸胞證的簡稱,communication,vocabulary
2,一米线/一米等待线,等待線,距离营业窗又或柜台前一米远的地面上画出的横线,距離營業窗又或櫃臺前一米遠的地面上畫出的橫線,communication,vocabulary
3,空乘人员,空服人員,在飞机上负责为乘客提供服务和确保飞行安全的工作人员,在飛機上負責為乘客提供服務和確保飛行安全的工作人員,communication,wiki
4,机场大巴,機場巴士,往返市内与机场的接送旅客的专用客车,往返市內與機場的接送旅客的專用客車,communication,vocabulary
5,空中客车,空中巴士,一家总部位于欧洲的全球领先的飞机制造公司,一家總部位於歐洲的全球領先的飛機製造公司,communication,wiki
6,动车,電聯車/電車組,时速在200~250公里的铁路线路,時速在200~250公里的鐵路線路,communication,vocabulary
7,普快/普通快速列车,平快車,车次没有用字母表示类别,車次沒有用字母表示類別,communication,vocabulary
8,乘警,鐵路警察,火车上负责治安保卫工作的警察,火車上負責治安保衛工作的警察,communication,vocabulary
9,铁警,路警,负责铁路安全保卫工作的警察,負責鐵路安全保衛工作的警察,communication,vocabulary
10,磁悬浮列车,磁浮列車,利用电磁作用力，在轨道上方悬浮、高速前进的列车,利用電磁作用力，在軌道上方懸浮、高速前進的列車,communication,vocabulary
11,旅客信息中心,旅客資訊中心,为旅客提供旅行信息建议和帮助的服务设施,爲旅客提供旅行信息建議和幫助的服務設施,communication,wiki
12,站台,月臺,供乘客上下车或等待交通工具的地方，常见于火车站、公交站,供乘客上下車或等待交通工具的地方，常見於火車站、公交站,communication,dictionary
13,站台票,月臺票,一种让持票者有权在火车站的站台上接送乘客但不乘坐火车的票,一種讓持票者有權在火車站的站臺上接送乘客但不乘坐火車的票,communication,dictionary
14,地铁,捷運,一种在地下或地面上运行的城市公共交通工具,一種在地下或地面上運行的城市公共交通工具,communication,dictionary
15,屏蔽门,月臺門,屏蔽门是一种用于阻挡电磁波传播的特殊门。,月臺門是一種用於阻擋電磁波傳播的特殊門。,communication,dictionary
16,中转站,轉運站,指在运输过程中，货物或者人员需要暂时停留，更换交通工具或者方向的地方,指在運輸過程中，貨物或者人員需要暫時停留，更換交通工具或者方向的地方,communication,gpt
17,公交枢纽站,巴士轉運站,一个集中了多条公交线路的交通节点，乘客可以在此站点换乘不同的公交线路,一個集中了多條公交線路的交通節點，乘客可以在此站點換乘不同的公交線路,communication,gpt
18,公共交通,大衆運輸,指由政府或私人公司提供的，供公众使用的大众运输服务，如公交车,指由政府或私人公司提供的，供公衆使用的大衆運輸服務，如公交車,communication,wiki
19,公交车,公車,一种公共交通工具，主要用于城市内部或城市之间的乘客运输,一種公共交通工具，主要用於城市內部或城市之間的乘客運輸,communication,wiki
20,售票员,車掌,在电影院、火车站、公交站等地方负责售卖票据的工作人员,在電影院、火車站、公交站等地方負責售賣票據的工作人員,communication,dictionary
21,老幼病残孕专座,博愛座,公共交通工具上为有需要的乘客群体如老人、儿童、病人划定的座位,公共交通工具上爲有需要的乘客群體如老人、兒童、病人劃定的座位,communication,wiki
22,立交桥,交流道,一种交通枢纽设施，通过设置不同层级的桥梁使得交叉的道路能够互不干扰地交通,一種交通樞紐設施，通過設置不同層級的橋梁使得交叉的道路能夠互不幹擾地交通,communication,dictionary
23,道口,平交道,铁路和平面道路交叉的地方,鐵路和平面道路交叉的地方,communication,vocabulary
24,转盘,圓環,指交叉路口中间分流车辆的环形岛,指交叉路口中間分流車輛的環形島,communication,vocabulary
25,警示桶,交通錐,一种用于警告和指示的安全设施，通常在道路施工，交通管制等场所使用,一種用於警告和指示的安全設施，通常在道路施工，交通管製等場所使用,communication,gpt
26,隔离墩,紐澤西護欄,设置在道路中间或两侧，用于隔离车道，保护行人和非机动车辆安全的交通设施,設置在道路中間或兩側，用於隔離車道，保護行人和非機動車輛安全的交通設施,communication,gpt
27,高𡶶时刻,尖峰畤刻,指在一定时间周期内相关服务的使用频率极高，以至于出现拥塞或服务质量降低的一段时间,指在一定時間周期內相關服務的使用頻率極高，以至於出現擁塞或服務質量降低的一段時間,communication,wiki
28,出租汽车,計程車,一种提供有偿载客服务的公共交通工具,一種提供有償載客服務的公共交通工具,communication,dictionary
29,打的,搭計程車,打的是中国的口语表达,通常指打出租车,communication,dictionary
30,起步价,起跳價,指服务或商品的最低收费标准，即无论服务或商品的使用量如何，都需要支付的最低费用,指服務或商品的最低收費標準，即無論服務或商品的使用量如何，都需要支付的最低費用,communication,dictionary
31,班车,交通車,指按照固定的时间和路线运行，用于接送员工，学生等特定群体的交通工具,指按照固定的時間和路線運行，用於接送員工，學生等特定群體的交通工具,communication,dictionary
32,面包车,箱型車,一种中小型的，通常用于运输货物或者人员的封闭式汽车,一種中小型的，通常用於運輸貨物或者人員的封閉式汽車,communication,dictionary
33,协警,義警,协助公安工作的警务辅助人员,協助公安工作的警務輔助人員,communication,dictionary
34,长途汽车,客運汽車,一种设计用于长距离旅行的大型公共交通工具,一種設計用於長距離旅行的大型公共交通工具,communication,wiki
35,私家车,家庭車,个人或家庭拥有并用于个人或家庭出行的汽车,個人或家庭擁有並用於個人或家庭出行的汽車,communication,wiki
36,黑车,白牌車,指未经过正规注册或未取得合法营运许可，私自从事载客或货运活动的非法出租车,指未經過正規注冊或未取得合法營運許可，私自從事載客或貨運活動的非法出租車,communication,dictionary
37,房车,露營車,一种具有居家必备基本设施的汽车，俗称“车轮上的家”,一種具有居家必備基本設施的汽車，俗稱“車輪上的家”,communication,vocabulary
38,拖挂车,聯結车,一种没有动力，需要由汽车或其他动力车辆牵引的车辆,一種沒有動力，需要由汽車或其他動力車輛牽引的車輛,communication,gpt
39,自行车,腳踏車,一种有两个轮子，由人力脚踏驱动的交通工具,一種有兩個輪子，由人力腳踏驅動的交通工具,communication,dictionary
40,山地车,越野車,一种特殊设计用于山地骑行的自行车，具有强大的越野能力和耐用性,一種特殊設計用於山地騎行的自行車，具有強大的越野能力和耐用性,communication,wiki
41,摩托,機車,一种两轮或三轮的机动车辆，主要用于个人或小型货物的运输,一種兩輪或三輪的機動車輛，主要用於個人或小型貨物的運輸,communication,dictionary
42,踏板摩托车,速可達,一种结合了自行车踏板和摩托车动力系统的交通工具,一種結合了自行車踏板和摩托車動力系統的交通工具,communication,wiki
43,车距,行車距離,指一辆车与前方车辆的距离,指一輛車與前方車輛的距離,communication,gpt
44,交通拥堵,交通堵塞,指由于车辆过多或道路状况不佳，导致车辆无法正常，顺畅地行驶的情况,指由於車輛過多或道路狀況不佳，導緻車輛無法正常，順暢地行駛的情況,communication,wiki
45,追尾,追撞,指一辆车在行驶过程中，由于距离前车过近或反应不及，撞上前车的尾部的交通事故,指一輛車在行駛過程中，由於距離前車過近或反應不及，撞上前車的尾部的交通事故,communication,dictionary
46,酒精测试仪,酒測器,一种用于检测人体呼出气体中酒精含量的设备，常用于酒驾检测,一種用於檢測人體呼出氣體中酒精含量的設備，常用於酒駕檢測,communication,gpt
47,驾校,駕訓班,一种教育机构，专门负责教授和训练学员驾驶技术，帮助他们获取驾驶执照,一種教育機構，專門負責教授和訓練學員駕駛技術，幫助他們獲取駕駛執照,communication,dictionary
48,违规记分,違規記點,一种对违反规定或行为不当的个体进行惩罚的制度，通常以积累一定分数后会受到相应的处罚,一種對違反規定或行爲不當的個體進行懲罰的製度，通常以積累一定分數後會受到相應的處罰,communication,gpt
49,罚款,罰鍰,一种法律制裁手段，指因违反法律，法规或规章制度而被要求支付一定金额的处罚,一種法律製裁手段，指因違反法律，法規或規章製度而被要求支付一定金額的處罰,communication,dictionary
50,后备箱,後車廂,汽车后部用于存放行李或其他物品的储物空间,汽車後部用於存放行李或其他物品的儲物空間,communication,wiki
51,反视镜,後照鏡,装置在车内或车外两侧专供司机观察后面情况的镜子,裝置在車內或車外兩側專供司機觀察後麵情況的鏡子,communication,vocabulary
52,示廓灯,邊燈,车辆上用来标识车辆轮廓和大小的灯光设备,車輛上用來標識車輛輪廓和大小的燈光設備,communication,gpt
53,后位灯,後車燈,汽车尾部的灯，用于在夜间或视线不好的情况下，提醒后方的车辆和行人自己车辆的存在,汽車尾部的燈，用於在夜間或視線不好的情況下，提醒後方的車輛和行人自己車輛的存在,communication,gpt
54,转向灯,方向燈,汽车上用来指示车辆将要改变行驶方向的信号灯,汽車上用來指示車輛將要改變行駛方向的信號燈,communication,wiki
55,挂挡,入擋,指在驾驶汽车时，通过改变汽车的传动装置中的齿轮比例，以适应汽车行驶的不同速度和路况,指在駕駛汽車時，通過改變汽車的傳動裝置中的齒輪比例，以適應汽車行駛的不同速度和路況,communication,dictionary
56,减挡,退擋,指在驾驶过程中，为了适应路况或车速变化，将汽车的变速器从高挡位调整到低挡位的操作,指在駕駛過程中，爲了適應路況或車速變化，將汽車的變速器從高擋位調整到低擋位的操作,communication,gpt
57,自动挡,自動排擋,一种汽车变速器，它可以自动改变汽车的齿轮比例，无需驾驶员手动切换,一種汽車變速器，它可以自動改變汽車的齒輪比例，無需駕駛員手動切換,communication,dictionary
58,手动挡,手動排擋,一种汽车传动系统，驾驶员需要手动切换汽车的档位,一種汽車傳動繫統，駕駛員需要手動切換汽車的檔位,communication,dictionary
59,尾气,廢氣,指汽车、飞机等燃烧燃料后排放出的废气,指汽車、飛機等燃燒燃料後排放出的廢氣,communication,dictionary
60,旅游局,觀光局,一个政府部门，负责规划，管理和推广一个地区或国家的旅游业务,一個政府部門，負責規劃，管理和推廣一個地區或國家的旅遊業務,travel,gpt
61,旅游胜地,觀光勝地,指因其自然风光、历史文化、艺术建筑等特色吸引大量游客前来参观的地方,指因其自然風光、曆史文化、藝術建築等特色吸引大量遊客前來參觀的地方,travel,wiki
62,步行街,徒步區,指仅允许行人步行的区域,指僅允許行人步行的區域,travel,wiki
63,拼车,共乘,同路的人拼凑起来共同乘坐一辆车，费用分摊,同路的人拼湊起來共同乘坐一輛車，費用分攤,travel,vocabulary
64,双人自行车,協力車,一种设计有两个座位和两套脚踏装置，可以由两人同时骑行的自行车,一種設計有兩個座位和兩套腳踏裝置，可以由兩人同時騎行的自行車,travel,wiki
65,大堂经理,𣘗𡑔絰理,酒店或其他服务行业中负责监督和协调前台接待，客户服务和日常运营活动的管理人员,酒店或其他服務行業中負責監督和協調前颱接待，客戶服務和日常運營活動的管理人員,travel,gpt
66,商住楼,住商大樓,兼有商业和居住两种功用的楼房，一般一楼是店面，楼上可住人,兼有商業和居住兩種功用的樓房，一般一樓是店麵，樓上可住人,residence,vocabulary
67,复式楼,樓中樓,在同一单元内分为上下两个楼层的住宅户型,在同一單元內分為上下兩個樓層的住宅戶型,residence,vocabulary
68,猫眼/门镜,門眼/防盗眼,一种安装在房门上，使得屋内的人无需开门就可以观察到屋外的情况，从而保证自身的安全的小型光学仪器,一種安裝在房門上，使得屋內的人無需開門就可以觀察到屋外的情況，從而保証自身的安全的小型光學儀器,residence,wiki
69,房屋中介,房仲業,一种服务，帮助买家和卖家进行房地产交易的中间人或公司,一種服務，幫助買家和賣家進行房地産交易的中間人或公司,residence,gpt
70,液化气,液化瓦斯,一种通过压缩或冷却将气体转化为液体的燃料,一種通過壓縮或冷卻將氣體轉化為液體的燃料,residence,dictionary
71,液化气罐,瓦斯鋼瓶,一种用于储存液化石油气或其他液化气体的容器,一種用於儲存液化石油氣或其他液化氣體的容器,residence,gpt
