extracted_name,refine_flag,region,trial_num
王桂荣,False,1,0
林雅婷,False,0,0
王海燕,False,1,0
王海燕,False,1,0
马秀英,False,1,0
黃淑惠,False,0,0
张桂珍,False,1,0
王建平,False,1,0
王海燕,False,1,0
王桂荣,False,1,0
王桂荣,False,1,0
李淑英,False,1,0
王桂荣,False,1,0
张桂珍,False,1,0
刘红梅,False,1,0
马秀英,False,1,0
刘红梅,False,1,0
张海燕,False,1,0
刘红梅,False,1,0
林秀美,False,0,0
王海燕,False,1,0
林秀美,False,0,0
陳文雄,False,0,0
刘红梅,False,1,0
王桂荣,False,1,0
刘红梅,False,1,0
刘红梅,False,1,0
王建平,False,1,0
李淑英,False,1,0
刘红梅,False,1,0
林雅婷,False,0,0
王建平,False,1,0
马秀英,False,1,0
王海燕,False,1,0
李俊毅,False,0,0
王桂荣,False,1,0
李兰英,False,1,0
王建平,False,1,0
蔡承恩,False,0,0
王海燕,False,1,0
李兰英,False,1,0
李淑英,False,1,0
蔡承翰,False,0,0
林秀美,False,0,0
李兰英,False,1,0
张桂珍,False,1,0
蔡承翰,False,0,0
林秀美,False,0,0
刘玉梅,False,1,0
蔡承翰,False,0,0
林秀美,False,0,0
林秀美,False,0,0
刘玉梅,False,1,0
马秀英,False,1,0
陳美惠,False,0,0
王桂荣,False,1,0
蔡承恩,False,0,0
马秀英,False,1,0
刘红梅,False,1,0
林雅婷,False,0,0
陳文雄,False,0,0
刘红梅,False,1,0
陳美惠,False,0,0
马秀英,False,1,0
张桂珍,False,1,0
林雅婷,False,0,0
王桂荣,False,1,0
王建平,False,1,0
林秀美,False,0,0
黃淑惠,False,0,0
陳文雄,False,0,0
张桂珍,False,1,0
蔡承翰,False,0,0
李淑英,False,1,0
陳宥蓁,False,0,0
蔡承翰,False,0,0
王桂荣,False,1,0
李俊毅,False,0,0
林秀美,False,0,0
蔡承翰,False,0,0
王桂荣,False,1,0
刘红梅,False,1,0
蔡承翰,False,0,0
王桂荣,False,1,0
王海燕,False,1,0
陳文雄,False,0,0
陳宥蓁,False,0,0
林雅婷,False,0,0
蔡承翰,False,0,0
马秀英,False,1,0
林秀美,False,0,0
陳宥蓁,False,0,0
林秀美,False,0,0
马秀英,False,1,0
王海燕,False,1,0
王桂荣,False,1,0
刘红梅,False,1,0
林雅婷,False,0,0
马秀英,False,1,0
王桂荣,False,1,0
王建平,False,1,0
王建平,False,1,0
刘红梅,False,1,0
刘红梅,False,1,0
黃淑惠,False,0,0
张桂珍,False,1,0
林秀美,False,0,0
蔡承恩,False,0,0
王建平,False,1,0
黃淑惠,False,0,0
王海燕,False,1,0
张桂珍,False,1,0
刘玉梅,False,1,0
李兰英,False,1,0
黃淑惠,False,0,0
张桂珍,False,1,0
马秀英,False,1,0
李淑英,False,1,0
张海燕,False,1,0
李兰英,False,1,0
王建平,False,1,0
蔡承翰,False,0,0
王建平,False,1,0
刘玉梅,False,1,0
王桂荣,False,1,0
刘玉梅,False,1,0
王桂荣,False,1,0
李俊毅,False,0,0
王海燕,False,1,0
王桂荣,False,1,0
刘玉梅,False,1,0
陳文雄,False,0,0
马秀英,False,1,0
黃淑惠,False,0,0
李兰英,False,1,0
张海燕,False,1,0
张海燕,False,1,0
李淑英,False,1,0
张海燕,False,1,0
刘玉梅,False,1,0
陳美惠,False,0,0
王桂荣,False,1,0
王建平,False,1,0
张海燕,False,1,0
李淑英,False,1,0
刘红梅,False,1,0
李俊毅,False,0,0
陳美惠,False,0,0
张海燕,False,1,0
蔡承恩,False,0,0
李淑英,False,1,0
陳文雄,False,0,0
王建平,False,1,0
林雅婷,False,0,0
张桂珍,False,1,0
黃淑惠,False,0,0
黃淑惠,False,0,0
刘玉梅,False,1,0
张海燕,False,1,0
林秀美,False,0,0
王建平,False,1,0
刘玉梅,False,1,0
蔡承恩,False,0,0
张海燕,False,1,0
李俊毅,False,0,0
张桂珍,False,1,0
陳美惠,False,0,0
张淑芬,True,-1,0
张桂珍,False,1,0
陳宥蓁,False,0,0
林雅婷,False,0,0
王桂荣,False,1,0
蔡承翰,False,0,0
张海燕,False,1,0
王桂荣,False,1,0
张海燕,False,1,0
陳美惠,False,0,0
刘玉梅,False,1,0
马秀英,False,1,0
陳美惠,False,0,0
李丹丹,False,1,1
李丹丹,False,1,1
李桂荣,False,1,1
陈柏翰,True,-1,1
吳承翰,False,0,1
吳承翰,False,0,1
陈秀兰,False,1,1
李桂荣,False,1,1
刘玉兰,False,1,1
陳淑美,False,0,1
林淑貞,False,0,1
李丹丹,False,1,1
吳承翰,False,0,1
陈秀兰,False,1,1
王淑兰,False,1,1
吴承翰,True,-1,1
王淑兰,False,1,1
张秀芳,False,1,1
王淑兰,False,1,1
林淑貞,False,0,1
陈柏翰,True,-1,1
林淑貞,False,0,1
陳俊豪,False,0,1
王淑兰,False,1,1
杨秀珍,False,1,1
王淑兰,False,1,1
王淑兰,False,1,1
李桂荣,False,1,1
陳俊豪,False,0,1
王淑兰,False,1,1
吳承翰,False,0,1
李桂荣,False,1,1
刘玉华,False,1,1
吳承翰,False,0,1
張淑貞,False,0,1
陈柏翰,True,-1,1
李丹丹,False,1,1
李桂荣,False,1,1
陈淑美,True,-1,1
刘玉华,False,1,1
李丹丹,False,1,1
李淑华,False,1,1
林哲宇,False,0,1
吳承翰,False,0,1
吳承翰,False,0,1
陈秀兰,False,1,1
林哲宇,False,0,1
林淑貞,False,0,1
张秀荣,False,1,1
林哲宇,False,0,1
林淑貞,False,0,1
