,extracted_name,refine_flag,region,trial_num
0,陳麗娟,True,0,0
1,林淑华,True,-1,0
2,王淑华,True,1,0
3,王淑华,True,1,0
4,王淑华,True,1,0
5,王淑华,True,1,0
6,王淑华,True,1,0
7,王丽华,True,1,0
8,王淑华,True,1,0
9,王淑华,True,1,0
10,林淑华,True,-1,0
11,王丽华,True,1,0
12,林淑华,True,-1,0
13,王淑华,True,1,0
14,陈丽娟,True,-1,0
15,王淑华,True,1,0
16,王淑华,True,1,0
17,王丽华,True,1,0
18,王丽华,True,1,0
19,王淑华,True,1,0
20,王淑华,True,1,0
21,林淑华,True,-1,0
22,王丽华,True,1,0
23,陳麗娟,True,0,0
24,林淑华,True,-1,0
25,王淑华,True,1,0
26,林淑华,True,-1,0
27,张丽娟,True,1,0
28,"王, 淑, 华",True,-1,0
29,张丽娟,True,1,0
30,,True,-1,0
31,王淑华,True,1,0
32,林淑华,True,-1,0
33,王丽华,True,1,0
34,王淑华,True,1,0
35,王淑华,True,1,0
36,王淑华,True,1,0
37,林淑华,True,-1,0
38,王丽华,True,1,0
39,陳麗娟,True,0,0
40,王淑华,True,1,0
41,王淑华,True,1,0
42,林淑华,True,-1,0
43,王丽华,True,1,0
44,王丽华,True,1,0
45,王淑华,True,1,0
46,林淑华,True,-1,0
47,張丽娟,True,-1,0
48,王丽华,True,1,0
49,王丽华,True,1,0
50,,True,-1,0
51,王淑华,True,1,0
52,王丽华,True,1,0
53,林淑华,True,-1,0
54,王淑华,True,1,0
55,林淑华,True,-1,0
56,林淑华,True,-1,0
57,张丽娟,True,1,0
58,"王, 淑, 华",True,-1,0
59,王丽华,True,1,0
60,王丽华,True,1,0
61,王淑华,True,1,0
62,陈麗娟,True,-1,0
63,林淑华,True,-1,0
64,王丽华,True,1,0
65,王淑华,True,1,0
66,王淑华,True,1,0
67,陈丽华,True,-1,0
68,王淑华,True,1,0
69,王丽华,True,1,0
70,王淑华,True,1,0
71,王丽华,True,1,0
72,王淑华,True,1,0
73,林淑华,True,-1,0
74,林淑华,True,-1,0
75,林淑华,True,-1,0
76,林淑华,True,-1,0
77,王丽华,True,1,0
78,王淑华,True,1,0
79,王淑华,True,1,0
80,王丽华,True,1,1
81,王淑华,True,1,1
82,张丽娟,True,1,1
83,王淑华,True,1,1
84,林淑华,True,-1,1
85,林淑華,True,0,1
86,王淑华,True,1,1
87,張丽娟,True,-1,1
88,陈丽娟,True,-1,1
89,陳麗華,True,0,1
90,王淑华,True,1,1
91,林淑华,True,-1,1
92,陳麗娟,True,0,1
93,王丽华,True,1,1
94,林淑华,True,-1,1
95,王淑华,True,1,1
96,王丽华,True,1,1
97,林淑华,True,-1,1
98,陳麗華,True,0,1
99,林淑华,True,-1,1
100,林淑华,True,-1,1
101,王淑华,True,1,1
102,王丽华,True,1,1
103,王淑华,True,1,1
104,王丽华,True,1,1
105,王丽华,True,1,1
106,王淑华,True,1,1
107,林淑华,True,-1,1
108,陈麗娟,True,-1,1
109,王丽华,True,1,1
110,林淑华,True,-1,1
111,王淑华,True,1,1
112,林淑华,True,-1,1
113,林淑华,True,-1,1
114,张丽娟,True,1,1
115,王丽华,True,1,1
116,王淑华,True,1,1
117,林淑华,True,-1,1
118,陈丽娟,True,-1,1
119,陳麗娟,True,0,1
120,王淑华,True,1,1
121,王淑华,True,1,1
122,王丽华,True,1,1
123,王淑华,True,1,1
124,陈麗娟,True,-1,1
125,王丽华,True,1,1
126,,True,-1,1
127,王丽华,True,1,1
128,王丽华,True,1,1
129,王淑华,True,1,1
130,王淑华,True,1,1
131,王淑华,True,1,1
132,,True,-1,1
133,林淑华,True,-1,1
134,王淑华,True,1,1
135,林淑华,True,-1,1
136,陳麗娟,True,0,1
137,林淑华,True,-1,1
138,王淑华,True,1,1
139,林淑华,True,-1,1
140,陈麗娟,True,-1,1
141,王淑华,True,1,1
142,王淑华,True,1,1
143,王丽华,True,1,1
144,王淑华,True,1,1
145,林淑华,True,-1,1
146,陈丽娟,True,-1,1
147,林淑华,True,-1,1
148,陈丽娟,True,-1,1
149,王淑华,True,1,1
150,林淑华,True,-1,1
151,陳麗娟,True,0,1
152,王丽华,True,1,1
153,王淑华,True,1,1
154,王丽华,True,1,1
155,林淑华,True,-1,1
156,王丽华,True,1,1
157,陳麗華,True,0,1
158,王丽华,True,1,1
159,林淑华,True,-1,1
160,陳麗華,True,0,2
161,陈麗娟,True,-1,2
162,陈丽娟,True,-1,2
163,王丽华,True,1,2
