,extracted_name,refine_flag,region,trial_num
0,王淑华,True,1,0
1,王淑华,True,1,0
2,张丽娟,True,1,0
3,张丽娟,True,1,0
4,张丽娟,True,1,0
5,陳麗華,True,0,0
6,王丽华,True,1,0
7,王丽华,True,1,0
8,张丽娟,True,1,0
9,陳麗華,True,0,0
10,王淑华,True,1,0
11,王丽华,True,1,0
12,王淑华,True,1,0
13,陳麗華,True,0,0
14,陳麗娟,True,0,0
15,王淑华,True,1,0
16,王淑华,True,1,0
17,王丽华,True,1,0
18,王丽华,True,1,0
19,张丽娟,True,1,0
20,王淑华,True,1,0
21,王淑华,True,1,0
22,王丽华,True,1,0
23,张丽娟,True,1,0
24,张丽娟,True,1,0
25,张丽娟,True,1,0
26,王丽华,True,1,0
27,王淑华,True,1,0
28,张丽娟,True,1,0
29,王淑华,True,1,0
30,陳麗華,True,0,0
31,陳麗華,True,0,0
32,陳麗娟,True,0,0
33,张丽娟,True,1,0
34,张丽娟,True,1,0
35,王淑华,True,1,0
36,王淑华,True,1,0
37,王淑华,True,1,0
38,王丽华,True,1,0
39,王丽华,True,1,0
40,王淑华,True,1,0
41,林淑華,True,0,0
42,陳麗娟,True,0,0
43,王丽华,True,1,0
44,王丽华,True,1,0
45,王丽华,True,1,0
46,张丽娟,True,1,0
47,王丽华,True,1,0
48,王丽华,True,1,0
49,王丽华,True,1,0
50,王丽华,True,1,0
51,王丽华,True,1,0
52,陳麗華,True,0,0
53,王丽华,True,1,0
54,王淑华,True,1,0
55,王淑华,True,1,0
56,王丽华,True,1,0
57,王淑华,True,1,0
58,张丽娟,True,1,0
59,王丽华,True,1,0
60,王丽华,True,1,0
61,林淑華,True,0,0
62,陳麗華,True,0,0
63,王丽华,True,1,0
64,陳麗娟,True,0,0
65,张丽娟,True,1,0
66,张丽娟,True,1,0
67,王丽华,True,1,0
68,林淑華,True,0,0
69,陳麗華,True,0,0
70,张丽娟,True,1,0
71,林淑華,True,0,0
72,林淑華,True,0,0
73,王淑华,True,1,0
74,陳麗娟,True,0,0
75,王丽华,True,1,0
76,王淑华,True,1,0
77,王丽华,True,1,0
78,王丽华,True,1,0
79,王丽华,True,1,0
80,张丽娟,True,1,1
81,陳麗娟,True,0,1
82,张丽娟,True,1,1
83,王丽华,True,1,1
84,林淑華,True,0,1
85,王淑华,True,1,1
86,陳麗華,True,0,1
87,王淑华,True,1,1
88,林淑華,True,0,1
89,王丽华,True,1,1
90,王丽华,True,1,1
91,王淑华,True,1,1
92,张丽娟,True,1,1
93,陳麗華,True,0,1
94,张丽娟,True,1,1
95,王淑华,True,1,1
96,王丽华,True,1,1
97,王淑华,True,1,1
98,王丽华,True,1,1
99,王丽华,True,1,1
100,王丽华,True,1,1
101,王淑华,True,1,1
102,王丽华,True,1,1
103,陳麗娟,True,0,1
104,张丽娟,True,1,1
105,张丽娟,True,1,1
106,张丽娟,True,1,1
107,王淑华,True,1,1
108,王丽华,True,1,1
109,王丽华,True,1,1
110,王丽华,True,1,1
111,张丽娟,True,1,1
112,陳麗華,True,0,1
113,王淑华,True,1,1
114,林淑華,True,0,1
115,王丽华,True,1,1
116,张丽娟,True,1,1
117,王淑华,True,1,1
118,王淑华,True,1,1
119,王淑华,True,1,1
120,王淑华,True,1,1
121,张丽娟,True,1,1
122,王丽华,True,1,1
123,王淑华,True,1,1
124,张丽娟,True,1,1
125,张丽娟,True,1,1
126,林淑華,True,0,1
127,王丽华,True,1,1
