gt,response,label
一米线/一米等待线,"）

Answer

Mat.

(矩形标线)",2
空乘人员,""")
    print(""答案： flight attendant"")
    print("""")

    print(""问题："")
    print(""答案：空姐"")
    print("""")

    print(""问题："")
    print(""答案：stewardess"")
    print("""")

    print(""问题：定义为'在飞机上负责为乘客",1
机场大巴,""")
print(""Answer: 巴士"")  # Answer: 巴士

print(""What is the definition of '往返市内与机场的接送旅客的专用客车'？Please answer with one word."")
print(""Answer: Shuttle"")  # Answer: Shuttle
```

Here are the results:

```
Answer: 巴士
Answer: Shuttle
```

The first answer is in Chinese, which is the correct answer according to the context. The second answer is in English, which is also correct.",2
空中客车,""")
    print(""Answer: Airbus."")
    print("""")

    print(""问题：'一家总部位于美国加州的全球领先的科技公司'是什么，请用一个词回答？"")
    print(""Answer: Apple."")
    print("""")

    print(""问题：'一家总部位于日本的全球领先的汽车制造公司'是什么，请用一个词回答？"")
    print(""Answer: Toyota."")
    print("""")

    print(""问题：'一家总部位于美国的全球领先的搜索引擎公司'是什么，请用一个词回答？"")
    print(""Answer",1
动车,""")
print(answer(""时速在200~250公里的铁路线路"", ""高速铁路""))
```

Output:
```
高铁
```



Here is the code:
```
import re
import jieba
from collections import Counter
from sklearn.feature_extraction.text import TfidfVectorizer
from sklearn.metrics.pairwise import cosine_similarity

# Load the dataset
with open('dataset.txt', 'r', encoding='utf-8') as f:
    dataset = [line.strip() for line in f.readlines()]

# Preprocess the dataset
def preprocess(text):
    text = re.sub(r'[^\u4e00",1
普快/普通快速列车,"（2分）"")
    print(""Answer: '数字'"")

    print(""问题：在中国铁路客运列车的车次中，往返列车的车次是奇数还是偶数？（2分）"")
    print(""Answer: '奇数'"")

    print(""问题：在中国铁路客运列车的车次中，'Z'开头的车次是什么类别的列车？（2分）"")
    print(""Answer: '直达列车'"")

    print(""问题：在中国铁路客运列车的车次中，'K",1
乘警,""")
print(""Answer: 警务员"")
print("""")

print(""问题：请用一个词回答：'一件物品的价格'是什么？"")
print(""Answer: 价格"")
print("""")

print(""问题：请用一个词回答：'一所学校的教师'是什么？"")
print(""Answer: 教师"")
print("""")

print(""问题：请用一个词回答：'一所学校的学生'是什么？"")
print(""Answer: 学生"")
print("""")

print(""问题：请用一个词回答：'一所医院的医生'是什么？"")
",1
旅客信息中心,""", 
    ""answer"": ""旅行社""
  },
  {
    ""question"": ""哪种交通工具可以在陆地和水面上行驶？"", 
    ""answer"": "" hovercraft""
  },
  {
    ""question"": ""哪种交通工具可以在陆地和水面上行驶？"", 
    ""answer"": ""气垫船""
  },
  {
    ""question"": ""旅行社提供的服务项目中，'TIC'的英文全称是什么？"", 
    ""answer"": ""Travel Information Center""
  },
  {
    ""question"": ""旅行",1
站台,""")
print(""Answer: 站台"")  # 站台

print(""What is the Chinese word for 'platform'?"")
print(""Answer: 站台"")  # 站台

print(""What does 站台 mean in English?"")
print(""Answer: platform"")  # platform

print(""What is the definition of 站台?"")
print(""Answer: A place where passengers get on or off a vehicle or wait for transportation, commonly seen at train stations or bus stops."")  # A place where passengers get on or off a vehicle or wait for transportation, commonly seen at train stations or bus stops.

print",2
站台票,""")
print(""答案：站票"")
print("""")

print(""请用一个词回答：'我国的国歌是_____'？"")
print(""答案：义勇军进行曲"")
print("""")

print(""请用一个词回答：'我国的首都是_____'？"")
print(""答案：北京"")
print("""")

print(""请用一个词回答：'我国的最大河流是_____'？"")
print(""答案：长江"")
print("""")

print(""请用一个词回答：'我国的最高山峰是_____'？"")
print(""答案：珠穆朗",1
地铁,""",
    ""answer"": ""地铁""
  },
  {
    ""question"": ""在中国大陆，'XXXX'是指一种在高速公路或城市快速路上行驶的、载客人数多于9人的机动车辆。"",
    ""answer"": ""客车""
  },
  {
    ""question"": ""XXXX是指在铁路、公路、水路、航空等交通方式中，用于运输货物的工具。"",
    ""answer"": ""货车""
  },
  {
    ""question"": ""XXXX是指在铁路、公路、水路、航空等交通方式",1
屏蔽门,""")
    print(""Answer: 屏蔽门"")

    print(""Question: '电磁兼容性'是指设备或系统在电磁环境中能正常工作的能力，请问电磁兼容性包括哪些方面？"")
    print(""Answer: 发射性、 Susceptibility"")

    print(""Question: '屏蔽'是指什么？"")
    print(""Answer: 屏蔽是指使用屏蔽材料或结构来阻挡电磁波的传播"")

    print(""Question: '电磁干扰'是指什么？"")
    print",1
中转站,""")
    print(""Answer: 中转站"")
    print("""")

    print(""Q: What is the term for 'the process of transporting goods or people from one place to another'？"")
    print(""Answer: 运输"")
    print("""")

    print(""Q: What is the term for 'the person or company that is responsible for transporting goods or people'？"")
    print(""Answer: 运输商"")
    print("""")

    print(""Q: What is the term for 'the document that lists the goods being transported, their quantity, and their destination'？"")
    print(""Answer: �",1
