extracted_name,refine_flag,region,trial_num
李淑英,False,1,0
李淑英,False,1,0
李俊毅,False,0,0
张桂珍,False,1,0
李俊毅,False,0,0
李淑英,False,1,0
黄淑惠,True,-1,0
黃淑惠,False,0,0
NA,True,-1,0
林秀美,False,0,0
张淑芬,True,-1,0
张淑芬,True,-1,0
李俊毅,False,0,0
刘玉梅,False,1,0
李俊毅,False,0,0
林秀美,False,0,0
张海燕,False,1,0
张海燕,False,1,0
张淑芬,True,-1,0
NA,True,-1,0
李兰英,False,1,0
李俊毅,False,0,0
NA,True,-1,0
刘红梅,False,1,0
李兰英,False,1,0
李淑英,False,1,0
李淑英,False,1,0
林秀美,False,0,0
李淑英,False,1,0
李俊毅,False,0,0
李俊毅,False,0,0
张海燕,False,1,0
张桂珍,False,1,0
NA,True,-1,0
李俊毅,False,0,0
張海燕,True,-1,0
李俊毅,False,0,0
李兰英,False,1,0
王桂荣,True,1,0
李俊毅,False,0,0
李俊毅,False,0,0
李兰英,False,1,0
张淑芬,True,-1,0
张桂珍,False,1,0
李兰英,False,1,0
刘红梅,True,1,0
王海燕,False,1,0
李俊毅,False,0,0
李兰英,False,1,0
王海燕,False,1,0
李淑英,False,1,0
李兰英,False,1,0
张淑芬,True,-1,0
林秀美,False,0,0
王桂荣,False,1,0
林秀美,False,0,0
李俊毅,False,0,0
刘玉梅,False,1,0
李兰英,False,1,0
蔡承翰,False,0,0
李麗華,False,0,1
林美华,True,-1,1
李麗華,False,0,1
李秀华,False,1,1
李秀华,False,1,1
李麗華,False,0,1
李麗華,False,0,1
李麗華,False,0,1
王淑英,False,1,1
王玉珍,False,1,1
林美華,True,0,1
李麗華,False,0,1
林美华,True,-1,1
王秀华,False,1,1
张桂荣,False,1,1
林俊宏,False,0,1
李秀华,False,1,1
王淑英,False,1,1
黃钰婷,True,-1,1
林美华,True,-1,1
李秀华,False,1,1
NA,True,-1,1
李秀华,True,1,1
张兰英,False,1,1
陳惠玲,True,0,1
张兰英,True,1,1
李麗華,False,0,1
李秀华,False,1,1
李秀华,True,1,1
李秀华,False,1,1
李秀华,False,1,1
李麗华,True,-1,1
李秀华,False,1,1
李麗华,True,-1,1
李麗華,False,0,1
王玉珍,False,1,1
王玉珍,False,1,1
王玉珍,False,1,1
