gt,response,label
通行证,「台胞證」,1
一米线/一米等待线,櫃檯,1
机场大巴,機場接駁車,2
动车,高速,1
普快/普通快速列车,非字母分類,2
铁警,鐵路,1
磁悬浮列车,磁浮,2
旅客信息中心,旅运信息中心,2
站台,候車區,1
站台票,站票,1
公共交通,公共,2
公交车,公交,2
老幼病残孕专座,優先座,2
立交桥,交匯道,2
道口,交岔,1
转盘,环形岛,1
警示桶,「警示」,1
隔离墩,分隔島,1
高𡶶时刻,高峰期,2
出租汽车,公交,1
打的,「打」在这个情况下可能指的是「说」或「表达」。,2
起步价,最低收費,2
班车,校车,1
面包车,汽車,1
协警,保安,1
长途汽车,飞机,1
黑车,非法,2
房车,旅行車,1
拖挂车,非動力車,1
山地车,山地自行車,2
踏板摩托车,自行車動力輔助車,1
交通拥堵,拥堵,2
追尾,尾隨,1
酒精测试仪,呼气酒精檢測仪,2
违规记分,積分制,1
后备箱,尾箱,2
示廓灯,头燈,2
后位灯,尾燈,2
转向灯,轉向信號燈,2
挂挡,變速箱,2
减挡,下檔,2
自动挡,自動變速箱,2
手动挡,手排,2
旅游胜地,旅游,1
步行街,人行道,1
双人自行车,双座,2
大堂经理,前台管理,2
商住楼,"该词是""商住混合大樓""。",2
复式楼,双拼式,1
猫眼/门镜,视讯门铂,1
房屋中介,中介,2
液化气,液化,2
液化气罐,桶,1
煤气灶,炖鍋,1
排风扇,通風,1
残品,残余,1
虚假广告,虚假,2
断码货,缺貨,1
中间商,分銷商,2
一口价,固定,1
保质期,有效期,1
网上购物,電子商務,2
裙裤,半裙,1
蝙蝠衫,風衣,1
秋裤,绒衣,1
秋衣,"定义为""在秋季穿的，用于保暖的内衣""的词是：秋装",2
紧身短裤,短褲,1
坡跟鞋,高筒,1
西兰花,菠菜,1
菠萝,"其实这个问题可能有点模棱两可，但如果你指的是""热带水果""，那么答案是""芒果""。",1
番石榴,榴槤,1
羊蝎子,羊肉,1
牡蛎,贝壳类,1
录像机,电视机,1
数码相机,摄影机,1
卫生巾,产后期,1
圆珠笔,鋼筆,1
创可贴,止血带,1
