gt,response,label
影本/複印品,複製副本。,2
陸胞證,"""大陆居民来往台湾大陆胞证""",2
等待線,畫出的橫線。,1
機場巴士,答案是「穿梭巴士」。,2
電聯車/電車組,根據給定的描述，可以得出這是「高速鐵路」的定義。,1
平快車,"這個詞是 ""無類別"" 或 ""未分類""",1
鐵路警察,警察。,1
路警,警察。,2
磁浮列車,懸浮列車。,2
旅客資訊中心,旅遊資訊設施。,2
月臺,車站。,1
月臺門,磁共振門。,1
轉運站,網站。,1
巴士轉運站,交通枢纽。,2
公車,交通工具。,2
博愛座,無障礙座位。,1
交流道,交通枢纽。,1
平交道,交叉路口。,2
圓環,"交叉路口中間分流車輛的環形島可以用一個詞 ""過馬路橋"" 來描述。",1
交通錐,警告標誌。,1
紐澤西護欄,隔離設施。,1
尖峰畤刻,"""塞車""",2
計程車,地鐵。,1
搭計程車,司機,1
起跳價,「定價」。,1
交通車,交通工具,1
箱型車,車輛。,1
義警,公安辅助人员。,2
客運汽車,"答案是 ""公共汽车""。",2
家庭車,家庭汽車。,2
白牌車,"""非法出租車""",2
聯結车,無動於衷 (Unresponsive),1
越野車,山地自行车。,2
機車,自行車。,1
行車距離,"詞語 ""proximity""，或 ""distance""。",1
追撞,車禍,1
酒測器,酒精濃度計。,2
駕訓班,學校。,1
違規記點,懲罰制度。,2
罰鍰,處罰。,2
後車廂,儲物空間。,2
後照鏡,後視鏡。,2
邊燈,燈具。,2
後車燈,燈语,1
方向燈,燈語,1
入擋,變速器。,1
退擋,降檔。,1
手動排擋,换档器。,2
觀光勝地,旅遊景點。,2
徒步區,"根據给出的上下文，這個詞是 ""pedestrian area""。",1
共乘,共同交通。,2
協力車,自行車。,1
𣘗𡑔絰理,監督和管理。,2
樓中樓,楼层。,1
門眼/ 防盗眼,攝像頭。,1
房仲業,房地產經紀人。,2
液化瓦斯,燃料。,1
瓦斯鋼瓶,液化石油氣或液化氣體容器。,2
瓦斯爐,煤气炉。,2
瓦斯表,仪表是用来测量或计算燃气使用数量的仪器。,2
瑕疵品,"""破损商品""",1
不實廣告,誤導。,1
零碼,"""缺貨""",1
中盤商/中盤,"這個詞是 ""经销商""。",2
不二價,"""固定價格""",2
保固,質量保證。,2
網路購物,在互聯網上使用電子支付方式購買商品或服務的活動被稱為「電子商務」。,2
連身裙,"答案是 ""裙""。",2
褲裙,直筒裙。,1
蝴蝶䄂,翼衣。,2
衛生褲,冬季內衣。,1
衛生衣,秋冬季節穿的内衣。,2
熱褲,內裤。,1
楔型鞋,坡度。,1
綠花椰菜,菠菜。,1
太白粉,葡萄糖。,1
鳳梨,亚马逊坚果。,1
芭樂,木瓜。,1
柳橙,佛手。,1
羊大骨,羊排。,1
鮭魚,鲑科。,2
數位相機,數字式相機。,2
原子筆,稱為「走珠筆」。,2
OK繃,"這個詞是 ""绷帶""。",2
三温暖,蒸氣浴。,2
