gt,response,label
复印件,副本,2
通行证,台胞证,1
一米线/一米等待线,安全线,2
机场大巴,巴士,2
动车,高速铁路,1
普快/普通快速列车,无效,1
乘警,警司,1
旅客信息中心,咨询服务,1
站台,候车室。,1
屏蔽门,屏蔽门是一种用于阻挡电磁波传播的特殊门。,2
公交枢纽站,交通枢纽,2
公交车,火车,1
老幼病残孕专座,爱心座。,2
道口,交叉口,2
转盘,环岛,2
警示桶,警示牌,1
隔离墩,路障,1
高𡶶时刻,拥堵时段,2
打的,"""打的是中国""这个表达在中文中并没有特定的含义。如果您能提供更多的上下文信息，我会尽力帮助您理解这个表达。",1
起步价,门槛费,1
班车,巴士,2
面包车,货车,1
长途汽车,火车,1
私家车,汽车,1
拖挂车,拖车,2
山地车,山地自行车（Mountain Bike）,2
摩托,自行车,1
踏板摩托车,电动滑板车,1
交通拥堵,拥堵,2
追尾,碰撞,1
酒精测试仪,酒精呼气检测仪,2
违规记分,扣分制度。,2
示廓灯,车灯,1
后位灯,尾灯,2
挂挡,变速器,1
减挡,换挡,1
自动挡,自动变速器,2
步行街,人行道,1
大堂经理,主管,1
复式楼,双拼房,1
猫眼/门镜,监控摄像头,1
房屋中介,中介,2
液化气,液化石油气（LPG）,2
液化气罐,液化石油气钢瓶,2
煤气灶,炉灶,2
燃气管,燃气管道,2
建筑垃圾,装修垃圾,1
排风扇,通风器,2
残品,缺陷,1
虚假广告,欺诈,1
断码货,缺货,1
中间商,分销商,2
一口价,固定价格,2
网上购物,在线购物,2
连衣裙,长裙,2
裙裤,半裙,1
蝙蝠衫,蝙蝠袖上衣,2
秋裤,保暖内裤。,2
秋衣,保暖内衣,2
紧身短裤,短裤,1
坡跟鞋,坡状,1
西兰花,菠菜。,1
菠萝,菠萝蜜,1
番石榴,龙眼（Longan）,1
羊蝎子,羊骨,1
牡蛎,蚌,1
桑拿浴/桑拿,蒸气疗法,1
