gt,response,label
影本/複印品,影印。,2
等待線,隔離線。,1
機場巴士,機場接送车,1
電聯車/電車組,高速鐵路,1
平快車,數字,1
鐵路警察,列車警察,2
旅客資訊中心,旅遊中心,2
月臺,車站,1
巴士轉運站,轉乘站。,2
博愛座,專座,1
交通錐,路標,1
紐澤西護欄,中央隔離帶,1
尖峰畤刻,擁塞,1
搭計程車,計程車,2
起跳價,基本收費,2
箱型車,貨車,1
義警,警察辅助,1
客運汽車,巴士,2
聯結车,拖車,1
速可達,摩托腳踏車,2
酒測器,酒測儀。,2
違規記點,記分制,2
後車廂,行李箱,1
後照鏡,後視鏡,2
邊燈,車輛警示燈,2
後車燈,尾燈。,2
入擋,變速。,1
退擋,降檔,1
自動排擋,自動變速器,2
手動排擋,手排变速箱,2
觀光勝地,旅遊景點,2
𣘗𡑔絰理,經理,2
住商大樓,混合用途建築,2
樓中樓,複式单位,1
房仲業,房地产经纪人,2
瓦斯鋼瓶,儲槽,1
瓦斯爐,煤氣爐。,2
抽風機,排氣扇,2
瑕疵品,次品,1
零碼,缺貨,1
不二價,標價,1
連身裙,禮服,1
蝴蝶䄂,寬鬆上衣,1
衛生褲,保暖褲。,1
熱褲,短褲,2
楔型鞋,高跟鞋,1
綠花椰菜,花椰菜,2
鳳梨,木瓜。,1
芭樂,石榴。,1
柳橙,橘子,2
羊大骨,羊排,1
鮪魚,鰹魚,1
蚵仔,蛤蜊,2
