gt,response,label
影本/複印品,副本,2
等待線,營業窗又或櫃臺前一米遠的地面上畫出的橫線稱為'營業窗又或櫃臺前一米遠的地面上畫出的橫線'。,2
機場巴士,往返市內與機場的接送旅客的專用客車稱為'機場接送車'。,2
電聯車/電車組,高速鐵路,1
平快車,很抱歉，我不確定你所說的'車次沒有用字母表示類別'是什麼意思。你能提供更多背景或澄清你的問題嗎？,1
鐵路警察,警察,1
路警,警察,1
旅客資訊中心,旅行諮詢,2
月臺,車站,1
月臺票,火車站票,1
月臺門,月臺門是一種用於阻擋電磁波傳播的特殊門。,2
轉運站,轉換站,2
巴士轉運站,交通樞紐,2
博愛座,專用座位,1
交流道,隧道,1
平交道,交叉口,2
圓環,環形島,2
紐澤西護欄,人行道,1
尖峰畤刻,擁塞,1
計程車,公車,1
搭計程車,計程車,2
起跳價,最低收費標準,2
交通車,巴士,2
箱型車,汽車,1
義警,警務輔助人員,2
客運汽車,火車,1
家庭車,汽車,2
白牌車,非法計程車,1
聯結车,馬車,1
越野車,山地自行車,2
機車,腳踏車,1
速可達,摩托車,1
駕訓班,駕駛學校,2
違規記點,罰款,1
後照鏡,鏡子,1
邊燈,車燈,1
後車燈,後視鏡,1
入擋,變速器,1
退擋,變速,1
自動排擋,自動變速器,2
手動排擋,手動變速箱,2
廢氣,碳排放,1
觀光勝地,旅遊景點,2
徒步區,人行橫道,1
𣘗𡑔絰理,酒店或其他服務行業中負責監督和協調前颱接待，客戶服務和日常運營活動的管理人員被稱為「酒店經理」。,2
住商大樓,商住混合用途建築,2
樓中樓,兩層樓房,1
門眼/ 防盗眼,監視器,1
房仲業,房地産經紀人,2
液化瓦斯,液化燃料,2
瓦斯爐,爐子,2
抽風機,空氣清淨機,1
瑕疵品,殘損的産品,2
不實廣告,誤導性廣告,2
零碼,缺貨,1
中盤商/中盤,零售商,1
不二價,固定價格,2
網路購物,電子商務,2
連身裙,裙子,2
蝴蝶䄂,蝙蝠衣,1
衛生褲,內褲,1
衛生衣,內衣,1
熱褲,短褲,2
楔型鞋,鞋底前低後高，呈坡狀的鞋子稱為'坡鞋'。,2
綠花椰菜,菠菜,1
太白粉,糖,1
鳳梨,蘋果,1
芭樂,橙子,1
羊大骨,羊肉,1
蚵仔,珍珠貝,1
數位相機,相機,2
原子筆,鋼筆,1
OK繃,繃帶,2
三温暖,溫泉,1
