gt,response,label
影本/複印品,複本,2
等待線,櫃檯前1米水平線,1
機場巴士,「往返市內與機場的專車」,2
電聯車/電車組,高速鐵路,1
平快車,非字母分類,1
旅客資訊中心,旅遊諮詢中心,2
月臺,候車區,1
月臺票,「不乘車接送票」,2
捷運,「輕軌」,1
月臺門,電臺,1
巴士轉運站,轉運站,2
博愛座,「指定座位」,1
交流道,交匯式匝道,2
平交道,「路平」,2
圓環,交岔路口之環形島。,2
交通錐,「警示」,1
紐澤西護欄,分隔島,1
尖峰畤刻,高峰期,2
計程車,「一種提供有償載客服務的公共交通工具」可以用「大眾運輸工具」一詞來定義。,2
搭計程車,計程車,2
起跳價,基本費,2
交通車,校車,1
箱型車,「客貨車」,2
客運汽車,「大」,1
白牌車,非法,1
聯結车,拖車,1
越野車,山地自行車,2
速可達,電輔車,1
行車距離,「間距」,1
交通堵塞,交通壅塞,2
酒測器,呼氣酒測器,2
違規記點,懲戒制度,2
後照鏡,後視鏡,2
邊燈,車燈,1
後車燈,煞車燈,2
入擋,變速箱,1
退擋,換檔,1
自動排擋,自排,2
廢氣,污染物,1
徒步區,人行道,1
協力車,雙座腳踏車,2
𣘗𡑔絰理,該定義對應於「前場管理」(Front Office Manager)。,2
住商大樓,商住混合大樓,2
樓中樓,「雙拼」,1
門眼/ 防盗眼,監視器,1
房仲業,仲介,2
液化瓦斯,液化,2
瓦斯鋼瓶,桶裝,1
瓦斯爐,燃氣爐,2
抽風機,通風扇,1
瑕疵品,「瑕疵」,2
不實廣告,虛假宣傳,2
零碼,缺貨,1
不二價,固定,1
保存期限,有效期,1
網路購物,電子商務,2
蝴蝶䄂,"該定義描述的是 ""蝴蝶衣"" (Butterfly Sleeve)。",2
衛生褲,「禦寒內褲」,1
衛生衣,「禦寒」,2
熱褲,長襪褲,1
楔型鞋,鞋跟效應,2
綠花椰菜,菠菜,1
鳳梨,答案是：「Acai」。,1
芭樂,芒果,1
羊大骨,羊肉,1
蚵仔,貝類,1
數位電視,數位,1
數位相機,照相機,2
衛生棉,女性生理用品,2
OK繃,止血帶,1
三温暖,定義為「在密閉空間內使用蒸汽或乾熱進行身體調理程序，以促使大量出汗」的詞彙是「蒸汗」。,2
