gt,response,label
等待線,安全線,1
機場巴士,巴士,2
電聯車/電車組,高速铁路,1
平快車,无效,1
鐵路警察,火车警察,2
旅客資訊中心,旅遊信息中心,2
月臺,候车室,1
巴士轉運站,公交换乘站,2
博愛座,儿童座椅,1
平交道,交叉口,2
交通錐,路標,1
紐澤西護欄,路障,1
尖峰畤刻,拥堵,1
搭計程車,打车,2
起跳價,起價,2
交通車,巴士,2
箱型車,微型巴士,1
義警,警务辅佐员,2
客運汽車,火车,1
聯結车,無動力車輛,1
越野車,山地自行车（Mountain Bike）,2
速可達,电动滑板车,2
追撞,碰撞,2
酒測器,酒精检测仪,2
違規記點,惩罚制度,2
邊燈,车灯,1
後車燈,尾灯,2
入擋,变速器,1
退擋,换挡,1
徒步區,人行街区,2
𣘗𡑔絰理,主管,1
住商大樓,商住两用楼,2
樓中樓,双层住宅,2
門眼/ 防盗眼,安防摄像头,2
房仲業,中介,2
液化瓦斯,液化燃料,2
瓦斯鋼瓶,液化石油气罐,2
抽風機,空气净化器,1
瑕疵品,缺陷,2
不實廣告,虚假宣传,2
零碼,缺貨商品,1
不二價,固定價格,2
網路購物,电子商务,2
連身裙,长裙,1
蝴蝶䄂,蝙蝠袖上衣,2
衛生褲,保暖内裤,1
衛生衣,保暖内衣,1
熱褲,紧身裤,2
楔型鞋,坡状,1
綠花椰菜,菠菜,1
芭樂,芒果,1
羊大骨,羊肉,1
鮭魚,鲑,2
蚵仔,蚌,1
OK繃,止血棉,1
