,extracted_name,refine_flag,region
0,王淑华,True,1
1,林淑華,True,0
2,陳麗華,True,0
3,陳麗娟,True,0
4,林淑華,True,0
5,陳麗華,True,0
6,陳麗娟,True,0
7,林淑華,True,0
8,陳麗華,True,0
9,陳麗華,True,0
10,陳麗娟,True,0
11,陳麗華,True,0
12,陳麗娟,True,0
13,陳麗華,True,0
14,陳麗娟,True,0
15,林淑華,True,0
16,陳麗娟,True,0
17,陳麗娟,True,0
18,林淑華,True,0
19,陳麗華,True,0
20,林淑華,True,0
21,陳麗華,True,0
22,陳麗華,True,0
23,陳麗娟,True,0
24,陳麗華,True,0
25,陳麗華,True,0
26,陳麗娟,True,0
27,林淑華,True,0
28,陳麗娟,True,0
29,林淑華,True,0
30,陳麗華,True,0
31,陳麗華,True,0
32,陳麗娟,True,0
33,陳麗娟,True,0
34,林淑華,True,0
35,陳麗娟,True,0
36,陳麗娟,True,0
37,陳麗華,True,0
38,陳麗華,True,0
39,陳麗華,True,0
40,陳麗華,True,0
41,陳麗娟,True,0
42,陳麗娟,True,0
43,陈丽华,True,-1
44,张丽娟,True,1
45,林淑華,True,0
46,陳麗娟,True,0
47,陳麗娟,True,0
48,陳麗華,True,0
49,陳麗娟,True,0
50,林淑華,True,0
51,林淑華,True,0
52,陳麗華,True,0
53,陳麗華,True,0
54,王淑华,True,1
55,陳麗華,True,0
56,,True,-1
57,林淑華,True,0
58,林淑華,True,0
59,陳麗娟,True,0
60,林淑華,True,0
61,陳麗娟,True,0
62,林淑華,True,0
63,陳麗華,True,0
64,陳麗娟,True,0
65,,True,-1
66,林淑華,True,0
67,陳麗華,True,0
68,林淑華,True,0
69,陳麗華,True,0
70,林淑華,True,0
71,陳麗娟,True,0
72,陳麗華,True,0
73,林淑華,True,0
74,林淑華,True,0
75,陳麗娟,True,0
76,陳麗華,True,0
77,陳麗娟,True,0
78,陳麗華,True,0
79,陳麗華,True,0
80,陳麗娟,True,0
81,陳麗娟,True,0
82,陳麗娟,True,0
83,林淑華,True,0
84,陳麗華,True,0
85,林淑華,True,0
86,陳麗華,True,0
87,陳麗華,True,0
88,陳麗娟,True,0
89,陳麗華,True,0
90,林淑華,True,0
91,林淑華,True,0
92,陳麗華,True,0
93,陳麗娟,True,0
94,陳麗娟,True,0
95,陈丽华,True,-1
96,陳麗華,True,0
97,陳麗娟,True,0
98,陳麗娟,True,0
99,陳麗華,True,0
100,陳麗娟,True,0
101,陳麗娟,True,0
102,陳麗華,True,0
103,林淑華,True,0
104,林淑華,True,0
105,陳麗娟,True,0
106,陳麗華,True,0
107,林淑华,True,-1
108,陳麗華,True,0
109,陳麗華,True,0
110,陳麗華,True,0
111,陳麗華,True,0
112,陳麗華,True,0
113,陳麗娟,True,0
114,陳麗娟,True,0
115,林淑華,True,0
116,林淑華,True,0
117,张丽娟,True,1
118,林淑華,True,0
119,王淑华,True,1
120,张丽娟,True,1
121,陳麗華,True,0
122,陳麗娟,True,0
123,陳麗娟,True,0
124,陳麗娟,True,0
125,陳麗娟,True,0
126,陳麗娟,True,0
127,林淑華,True,0
128,陳麗娟,True,0
129,林淑華,True,0
130,林淑華,True,0
131,陳麗娟,True,0
132,陳麗華,True,0
133,林淑華,True,0
134,林淑華,True,0
135,陳麗娟,True,0
136,张丽娟,True,1
137,林淑華,True,0
138,林淑華,True,0
139,林淑華,True,0
140,林淑華,True,0
141,陳麗娟,True,0
142,陳麗娟,True,0
143,陳麗華,True,0
144,林淑華,True,0
145,陳麗娟,True,0
146,林淑華,True,0
147,陳麗華,True,0
148,陳麗華,True,0
149,陳麗華,True,0
150,林淑華,True,0
151,陳麗華,True,0
152,陳麗華,True,0
153,林淑華,True,0
154,张丽娟,True,1
155,陳麗娟,True,0
156,陳麗華,True,0
157,陳麗華,True,0
158,陳麗華,True,0
159,陳麗華,True,0
160,陳麗華,True,0
161,陳麗娟,True,0
162,陳麗娟,True,0
163,陳麗娟,True,0
164,林淑華,True,0
165,林淑華,True,0
166,陳麗娟,True,0
167,陳麗華,True,0
168,陳麗華,True,0
169,陳麗華,True,0
170,张丽娟,True,1
171,陳麗娟,True,0
172,林淑華,True,0
173,陳麗娟,True,0
174,林淑華,True,0
175,陳麗娟,True,0
176,林淑華,True,0
177,陳麗娟,True,0
178,陳麗娟,True,0
179,陳麗華,True,0
180,陳麗華,True,0
181,陳麗娟,True,0
182,陳麗華,True,0
183,王淑华,True,1
184,陳麗娟,True,0
185,陳麗華,True,0
186,林淑華,True,0
187,林淑華,True,0
188,陳麗華,True,0
189,王淑华,True,1
190,陳麗娟,True,0
191,陳麗娟,True,0
192,林淑華,True,0
193,陳麗娟,True,0
194,陳麗華,True,0
195,王淑华,True,1
196,林淑華,True,0
197,林淑華,True,0
198,林淑華,True,0
199,林淑華,True,0
200,陳麗娟,True,0
201,陳麗娟,True,0
202,陳麗華,True,0
203,陳麗華,True,0
204,陳麗娟,True,0
205,陳麗華,True,0
206,陳麗娟,True,0
207,陳麗娟,True,0
208,陳麗娟,True,0
209,陳麗娟,True,0
210,陳麗華,True,0
