extracted_name,refine_flag,region,trial_num
陈俊良,True,-1,0
张志强,False,1,0
李建华,False,1,0
陳俊良,False,0,0
陳俊良,False,0,0
张建军,False,1,0
王志强,False,1,0
陈麗卿,True,-1,0
陈俊良,True,-1,0
林秀美,False,0,0
王志强,False,1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
陳俊良,False,0,0
張凱翔,False,0,0
张志强,False,1,0
NA,True,-1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
林明德,False,0,0
张建军,False,1,0
张建军,False,1,0
陈俊良,True,-1,0
张建军,False,1,0
陈俊良,True,-1,0
陳俊良,False,0,0
林秀美,False,0,0
陈俊良,True,-1,0
陳俊良,False,0,0
张建军,False,1,0
陈俊良,True,-1,0
张建军,False,1,0
陈俊良,True,-1,0
陈麗卿,True,-1,0
王志强,False,1,0
林明德,False,0,0
李建华,False,1,0
陈俊良,True,-1,0
林麗娟,False,0,0
陈俊良,True,-1,0
陈麗珠,True,-1,0
王志强,False,1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
王志强,False,1,0
王志强,False,1,0
李建华,False,1,0
王志强,False,1,0
王志强,False,1,0
張建軍,True,-1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
陈麗珠,True,-1,0
张志强,False,1,0
陈俊良,True,-1,0
王志强,False,1,0
陈俊良,True,-1,0
張凱翔,False,0,0
王志强,False,1,0
陈俊良,True,-1,0
陳俊良,False,0,0
張建军,True,-1,0
杨桂英,False,1,0
陳俊良,False,0,0
陈俊良,True,-1,0
陈俊良,True,-1,0
张建军,False,1,0
林麗娟,False,0,0
張凱翔,False,0,0
张志强,False,1,0
陈麗珠,True,-1,0
张建军,False,1,0
陈俊良,True,-1,0
陈麗珠,True,-1,0
林明德,False,0,0
林明德,False,0,0
陈俊良,True,-1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
陳俊良,False,0,0
NA,True,-1,0
王志强,False,1,0
陈俊良,True,-1,0
陳俊良,False,0,0
陳俊良,False,0,0
陈俊良,True,-1,0
陈俊良,True,-1,0
林明德,False,0,0
张建军,False,1,0
林明德,False,0,0
张建军,False,1,0
陈俊良,True,-1,0
陈麗卿,True,-1,0
陈玉兰,False,1,0
王志强,False,1,0
王志强,False,1,0
王志强,False,1,0
陈麗珠,True,-1,0
王志强,False,1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
张建军,False,1,0
王志强,False,1,0
陳俊良,False,0,0
张志强,False,1,0
张志强,False,1,0
李建华,False,1,0
陈麗卿,True,-1,0
王志强,False,1,0
陳俊良,False,0,0
陈俊良,True,-1,0
张志强,False,1,0
陳麗卿,False,0,0
張凱翔,False,0,0
林明德,False,0,0
陳麗卿,False,0,0
陈俊良,True,-1,0
陈俊良,True,-1,0
王志强,False,1,0
林秀美,False,0,0
张志强,False,1,0
陈麗卿,True,-1,0
陈俊良,True,-1,0
王志强,False,1,0
张建军,False,1,0
林秀美,False,0,0
陈俊良,True,-1,0
陈俊良,True,-1,0
陳柏諺,False,0,0
陈俊良,True,-1,0
陳玉兰,True,-1,0
陈俊良,True,-1,0
林明德,False,0,0
張凱翔,False,0,0
陈俊良,True,-1,0
陈俊良,True,-1,0
林明德,False,0,0
李建华,False,1,0
陈麗卿,True,-1,0
林明德,False,0,0
陳俊良,False,0,0
王志强,False,1,0
陈俊良,True,-1,0
王志强,False,1,0
陈俊良,True,-1,0
林明德,False,0,0
林秀美,False,0,0
陈俊良,True,-1,0
李建华,False,1,0
張凱翔,False,0,0
陳俊良,False,0,0
林秀美,False,0,0
王志强,False,1,0
张志强,False,1,0
陈麗珠,True,-1,0
陳俊良,False,0,0
张志强,False,1,0
林明德,False,0,0
陈俊良,True,-1,0
陈俊良,True,-1,0
林秀美,False,0,0
陈俊良,True,-1,0
李建华,False,1,0
陈俊良,True,-1,0
王志强,False,1,0
王志强,False,1,0
王志强,False,1,0
张志强,False,1,0
王志强,False,1,0
陈俊良,True,-1,0
陈俊良,True,-1,0
張建军,True,-1,0
李建华,False,1,0
張志強,True,-1,0
陈俊良,True,-1,0
李建华,False,1,0
陈俊良,True,-1,0
李建华,False,1,0
林明德,False,0,0
