gt,prompt
影本/複印品,請用一個詞回答，什麼被定義為'通過複印機復制原始文件或圖片所得到的副本'？
陸胞證,請用一個詞回答，什麼被定義為'大陸居民往來臺灣陸胞證的簡稱'？
等待線,請用一個詞回答，什麼被定義為'距離營業窗又或櫃臺前一米遠的地面上畫出的橫線'？
空服人員,請用一個詞回答，什麼被定義為'在飛機上負責為乘客提供服務和確保飛行安全的工作人員'？
機場巴士,請用一個詞回答，什麼被定義為'往返市內與機場的接送旅客的專用客車'？
空中巴士,請用一個詞回答，什麼被定義為'一家總部位於歐洲的全球領先的飛機製造公司'？
電聯車/電車組,請用一個詞回答，什麼被定義為'時速在200~250公里的鐵路線路'？
平快車,請用一個詞回答，什麼被定義為'車次沒有用字母表示類別'？
鐵路警察,請用一個詞回答，什麼被定義為'火車上負責治安保衛工作的警察'？
路警,請用一個詞回答，什麼被定義為'負責鐵路安全保衛工作的警察'？
磁浮列車,請用一個詞回答，什麼被定義為'利用電磁作用力，在軌道上方懸浮、高速前進的列車'？
旅客資訊中心,請用一個詞回答，什麼被定義為'爲旅客提供旅行信息建議和幫助的服務設施'？
月臺,請用一個詞回答，什麼被定義為'供乘客上下車或等待交通工具的地方，常見於火車站、公交站'？
月臺票,請用一個詞回答，什麼被定義為'一種讓持票者有權在火車站的站臺上接送乘客但不乘坐火車的票'？
捷運,請用一個詞回答，什麼被定義為'一種在地下或地面上運行的城市公共交通工具'？
月臺門,請用一個詞回答，什麼被定義為'月臺門是一種用於阻擋電磁波傳播的特殊門。'？
轉運站,請用一個詞回答，什麼被定義為'指在運輸過程中，貨物或者人員需要暫時停留，更換交通工具或者方向的地方'？
巴士轉運站,請用一個詞回答，什麼被定義為'一個集中了多條公交線路的交通節點，乘客可以在此站點換乘不同的公交線路'？
大衆運輸,請用一個詞回答，什麼被定義為'指由政府或私人公司提供的，供公衆使用的大衆運輸服務，如公交車'？
公車,請用一個詞回答，什麼被定義為'一種公共交通工具，主要用於城市內部或城市之間的乘客運輸'？
車掌,請用一個詞回答，什麼被定義為'在電影院、火車站、公交站等地方負責售賣票據的工作人員'？
