gt,response,label
通行证,台胞证,1
一米线/一米等待线,隔离线,2
动车,高速铁路,1
普快/普通快速列车,数字,1
乘警,列车警察,2
旅客信息中心,旅游咨询中心,2
站台,车站,1
屏蔽门,屏蔽门是一种设备。,2
公交枢纽站,换乘站,1
老幼病残孕专座,专座,2
道口,立交桥,1
转盘,环岛,2
警示桶,路标,1
隔离墩,护栏,1
高𡶶时刻,拥堵,1
打的,方言,1
起步价,基本费用,2
面包车,货车,1
协警,志愿者,1
长途汽车,巴士,1
拖挂车,拖车,2
摩托,电动车。,1
踏板摩托车,电动自行车,1
交通拥堵,拥堵,2
追尾,追尾事故,2
酒精测试仪,酒精检测仪,2
违规记分,积分制,1
后备箱,行李箱。,1
示廓灯,示宽灯,1
后位灯,尾灯。,2
挂挡,换挡,2
自动挡,自动变速器,2
手动挡,手动变速器,2
旅游胜地,景点。,2
大堂经理,经理。,1
房屋中介,经纪人,2
液化气,液化气体,2
液化气罐,储罐,1
燃气管,燃气管道,2
建筑垃圾,建筑废料,2
排风扇,排气扇,2
残品,次品,1
断码货,断货,1
一口价,定价,1
蝙蝠衫,披肩,1
紧身短裤,短裤,1
坡跟鞋,高跟鞋,1
西兰花,花菜,2
菠萝,番石榴,1
番石榴,石榴,1
羊蝎子,羊排,1
牡蛎,蛤蜊,1
