gt,response,label
复印件,副本,2
通行证,大陆居民往来台湾通行证的简称是'大陆通'。,2
一米线/一米等待线,您可以使用'距离营业窗又或柜台前一米远的地面上画出的横线'这个词来描述这个位置。,2
机场大巴,汽油,1
动车,高速铁路,1
普快/普通快速列车,"车次没有用字母表示类别的是""车次""。",2
乘警,警察,1
铁警,警察,1
磁悬浮列车,高速列车,1
旅客信息中心,旅行信息中心,2
站台票,火车站的站台,1
屏蔽门,屏蔽门是一种用于阻挡电磁波传播的特殊门。,2
中转站,中车站,1
公交枢纽站,交通枢纽,2
公交车,公共交通,2
老幼病残孕专座,席位,1
立交桥,交通枢纽,1
道口,交叉口,2
转盘,中心环形岛,2
警示桶,交通信号,1
隔离墩,人行道,1
高𡶶时刻,拥塞,1
出租汽车,巴士,1
打的,中国的口语表达,1
起步价,最低收费标准,1
班车,校内巴士,2
面包车,汽车,1
协警,警务辅助人员,2
长途汽车,火車,1
私家车,汽车,2
黑车,非法出租车,2
房车,汽车,1
拖挂车,拖拉机,1
自行车,车,1
摩托,摩托车,2
踏板摩托车,摩托车,1
车距,距離,2
追尾,追尾事故,2
酒精测试仪,酒精检测器,2
违规记分,惩罚,1
后备箱,汽车后部用于存放行李或其他物品的储物空间被称为'行李箱'。,2
示廓灯,标照灯,1
后位灯,尾灯,2
挂挡,汽车的变速器。,2
减挡,換挡位,1
自动挡,自动变速器,2
手动挡,手动变速器,2
尾气,排放,2
旅游胜地,旅游景点,2
步行街,人行道,1
双人自行车,轻便摩托车,1
大堂经理,前台经理,2
商住楼,商住混合用途建築,2
复式楼,公寓,1
猫眼/门镜,监控摄像头,1
液化气,冷却,1
燃气管,燃气管道,2
排风扇,空气清洗器,1
残品,有残损的产品是指在生产或運輸过程中受到損坏或损害的产品。,2
虚假广告,虚假宣传,2
断码货,缺货,1
一口价,固定價格,2
网上购物,电子商务,2
连衣裙,裙子,2
蝙蝠衫,蝙蝠翅衣,2
秋裤,褲子,2
秋衣,毛衣,1
紧身短裤,短裤,1
坡跟鞋,坡状,1
西兰花,萝卜,1
淀粉/团粉/生粉,纳粕尔,1
菠萝,芒果,1
番石榴,橘子,1
羊蝎子,羊肉,1
牡蛎,贝殼,1
数字电视,高清电视,1
录像机,播放器,1
数码相机,相机,2
卫生巾,月经套,1
圆珠笔,笔,1
创可贴,急救细细线,1
桑拿浴/桑拿,汗蒸,1
