gt,response,label
陸胞證,「大陆居民往来台湾通行证」的簡稱為「台胞证」。,2
機場巴士,機場接送車。,1
電聯車/電車組,「高速鐵路」。,1
平快車,直通列車,1
旅客資訊中心,旅遊諮詢中心,2
月臺票,這種票的詞語定義可以是「接驳票」。,2
博愛座,「專屬座」,2
平交道,十字路口,1
圓環,環岛。,2
交通錐,「交通標誌」,1
紐澤西護欄,人行道分隔帶,1
尖峰畤刻,高峰期,2
起跳價,這可以被稱為「最低收费额」或「固定费用」。,2
交通車,校車,1
箱型車,貨車。,1
義警,警務助理。,1
客運汽車,飛機。,1
白牌車,非法网约车。,1
露營車,車屋（Caravan）,2
聯結车,拖車。,2
越野車,山地自行車。,2
機車,腳踏車。,1
速可達,電動滑板車 (Electric Scooter),2
交通堵塞,擁堵。,2
酒測器,酒精检测仪,2
駕訓班,駕駛學校,2
違規記點,積分管理制度,1
後車廂,行李箱。,1
邊燈,車牌燈。,1
後車燈,答案是：「尾灯」。,2
方向燈,轉向信號燈。,2
入擋,這可以被描述為「變速」。,2
退擋,換挡。,2
觀光勝地,旅遊景點。,2
徒步區,人行道。,1
樓中樓,「複式住宅」,2
門眼/ 防盗眼,"""門窗監視器""",2
房仲業,房地產經紀人,2
抽風機,通風機。,2
零碼,缺貨,1
中盤商/中盤,經銷商,2
保存期限,有效期,1
網路購物,在一個詞回答中，這可以被定義為「電商」（e-commerce）。,2
衛生褲,秋冬季內裤通常被稱為「保暖內裤」或「厚棉內裤」。,2
楔型鞋,這可以被描述為「坡度鞋底」。,2
綠花椰菜,菠菜,1
鳳梨,亞麻籽（Mango）,1
芭樂,pineapple,1
羊大骨,羊肉,1
鮭魚, Atlantic salmon,2
數位電視,數位視頻廣播（Digital Video Broadcasting，DVB）,2
衛生棉,「女性月經用品」,2
OK繃,創可貼,2
三温暖,蒸汽浴,2
