gt,response,label
通行证,大陆居民往来台湾通行证的简称是“台胞证”。,2
一米线/一米等待线,"问题：定义为'距离营业窗又或柜台前一米远的地面上画出的横线'的是什么，请用一个词回答？

分析和解答：根据问题描述，可以得知这是一条横线，它位于距离营业窗或柜台前一米远的地面上。因此，这条横线应该是一个“限高横线”。

答案：限高横线。",1
机场大巴,"答案是 ""长途客车""。",2
动车,高速铁路。,1
普快/普通快速列车,"""车型""",1
乘警,警察。,1
铁警,警察。,1
磁悬浮列车,电磁悬浮列车。,2
旅客信息中心,旅游信息咨询中心。,2
站台,车站。,1
站台票,答案是“铁路客票”。,1
公交枢纽站,交通节点。,2
公共交通,公共交通工具。,2
公交车,交通工具。,1
老幼病残孕专座,特殊人群座位。,2
立交桥,交通枢纽设施中的桥梁层级设计可以实现交叉道路互不干扰的交通。,2
道口,铁路和平面道路交叉的地方通常被称为铁路交叉点或铁路接点。,2
转盘,环岛。,2
警示桶,警戒设施。,1
隔离墩,交通隔离设施。,2
高𡶶时刻,"这个词是 ""瓶颈""。",1
出租汽车,公交车。,1
打的,"这个问题需要提供更多的上下文和背景信息来回答,因为“口语表达”这个词汇有些模糊,不确定具体指的是什么。如果能提供更多信息,我将尽力回答您的问题。",1
起步价,价格下限。,2
班车,"交通工具是指按照固定的时间和路线运行,用于接送员工、学生等特定群体的交通工具。",2
面包车,"答案是 ""厢式车""。",2
协警,警务辅助人员。,2
长途汽车,飞机。,1
私家车,家庭汽车。,2
黑车,"""非法出租车""",2
房车,答案是“家庭汽车”。,1
拖挂车,答案是“无动力车辆”。,1
山地车,山地自行车。,2
摩托,车辆。,1
踏板摩托车,滑板车。,1
车距,距离。,2
追尾,交通事故。,1
酒精测试仪,酒精检测仪。,2
驾校,驾驶培训机构。,2
违规记分,惩罚制度。,1
后备箱,储物空间。,2
反视镜,车外后视镜。,2
示廓灯,车灯。,1
后位灯,汽车尾灯。,2
转向灯,转向信号灯。,2
挂挡,传动比。,1
减挡,换挡。,1
自动挡,自动换挡。,2
手动挡,离合器。,2
旅游局,旅游推广机构。,2
旅游胜地,旅游景点。,2
步行街,区域,1
拼车,众筹。,1
双人自行车,自行车的设计描述为“两个座位和两套脚踏装置，可以由两人同时骑行的自行车”。,2
大堂经理,酒店经理。,1
复式楼,住宅跃层。,2
猫眼/门镜,窥镜,2
液化气,液体燃料。,1
液化气罐,液化石油气或液化气体的容器被称为“液化气瓶”。,2
煤气灶,煤气炉。,2
燃气管,答案是“燃气管道”。,2
燃气表,仪表是用来测量或指示物理量的装置。,2
排风扇,通风设备。,1
残品,"""有残损的产品""可以用一个词回答,那就是""残缺品""。",2
虚假广告,虚假宣传。,2
断码货,"""缺货""",1
中间商,经销商。,1
一口价,答案是“固定价格”。,2
保修,产品质量保证。,1
连衣裙,"答案是 ""裙子""。",2
蝙蝠衫,翼衣。,2
秋裤,内裤。,1
秋衣,秋冬季节穿的内衣。,2
紧身短裤,紧身裤。,1
坡跟鞋,"这个词是""负坡""。",2
西兰花,答案是“菠菜”。,1
淀粉/团粉/生粉,葡萄糖。,1
菠萝,亚马逊果。,1
番石榴,热带水果。,1
羊蝎子,羊排。,1
三文鱼,鲑鳟,2
牡蛎,答案是:贝类(Bivalve)。,2
圆珠笔,答案是:钢笔。,1
桑拿浴/桑拿,"这个词是 ""蒸气浴""。",2
